target block,0,,,,,,,,,,0.853
tree,0,correct:,835,wrong:,165,total:,1000,accuracy:,0.835,,0.856
tree,1,correct:,815,wrong:,185,total:,1000,accuracy:,0.815,,0.812
tree,2,correct:,832,wrong:,168,total:,1000,accuracy:,0.832,,0.804
tree,3,correct:,807,wrong:,193,total:,1000,accuracy:,0.807,,0.868
tree,4,correct:,789,wrong:,211,total:,1000,accuracy:,0.789,,0.893
tree,5,correct:,809,wrong:,191,total:,1000,accuracy:,0.809,,0.885
tree,6,correct:,803,wrong:,197,total:,1000,accuracy:,0.803,,0.831
forest,0,correct:,853,wrong:,147,total:,1000,accuracy:,0.853,,0.809
target block,1,,,,,,,,,,0.804
tree,0,correct:,806,wrong:,194,total:,1000,accuracy:,0.806,,0.8415
tree,1,correct:,816,wrong:,184,total:,1000,accuracy:,0.816,,
tree,2,correct:,805,wrong:,195,total:,1000,accuracy:,0.805,,
tree,3,correct:,788,wrong:,212,total:,1000,accuracy:,0.788,,
tree,4,correct:,781,wrong:,219,total:,1000,accuracy:,0.781,,
tree,5,correct:,794,wrong:,206,total:,1000,accuracy:,0.794,,
tree,6,correct:,817,wrong:,183,total:,1000,accuracy:,0.817,,
forest,1,correct:,856,wrong:,144,total:,1000,accuracy:,0.856,,
target block,2,,,,,,,,,,
tree,0,correct:,761,wrong:,239,total:,1000,accuracy:,0.761,,
tree,1,correct:,778,wrong:,222,total:,1000,accuracy:,0.778,,
tree,2,correct:,772,wrong:,228,total:,1000,accuracy:,0.772,,
tree,3,correct:,774,wrong:,226,total:,1000,accuracy:,0.774,,
tree,4,correct:,752,wrong:,248,total:,1000,accuracy:,0.752,,
tree,5,correct:,765,wrong:,235,total:,1000,accuracy:,0.765,,
tree,6,correct:,752,wrong:,248,total:,1000,accuracy:,0.752,,
forest,2,correct:,812,wrong:,188,total:,1000,accuracy:,0.812,,
target block,3,,,,,,,,,,
tree,0,correct:,782,wrong:,218,total:,1000,accuracy:,0.782,,
tree,1,correct:,768,wrong:,232,total:,1000,accuracy:,0.768,,
tree,2,correct:,784,wrong:,216,total:,1000,accuracy:,0.784,,
tree,3,correct:,772,wrong:,228,total:,1000,accuracy:,0.772,,
tree,4,correct:,753,wrong:,247,total:,1000,accuracy:,0.753,,
tree,5,correct:,746,wrong:,254,total:,1000,accuracy:,0.746,,
tree,6,correct:,756,wrong:,244,total:,1000,accuracy:,0.756,,
forest,3,correct:,804,wrong:,196,total:,1000,accuracy:,0.804,,
target block,4,,,,,,,,,,
tree,0,correct:,823,wrong:,177,total:,1000,accuracy:,0.823,,
tree,1,correct:,817,wrong:,183,total:,1000,accuracy:,0.817,,
tree,2,correct:,842,wrong:,158,total:,1000,accuracy:,0.842,,
tree,3,correct:,816,wrong:,184,total:,1000,accuracy:,0.816,,
tree,4,correct:,806,wrong:,194,total:,1000,accuracy:,0.806,,
tree,5,correct:,785,wrong:,215,total:,1000,accuracy:,0.785,,
tree,6,correct:,813,wrong:,187,total:,1000,accuracy:,0.813,,
forest,4,correct:,868,wrong:,132,total:,1000,accuracy:,0.868,,
target block,5,,,,,,,,,,
tree,0,correct:,830,wrong:,170,total:,1000,accuracy:,0.83,,
tree,1,correct:,826,wrong:,174,total:,1000,accuracy:,0.826,,
tree,2,correct:,846,wrong:,154,total:,1000,accuracy:,0.846,,
tree,3,correct:,831,wrong:,169,total:,1000,accuracy:,0.831,,
tree,4,correct:,825,wrong:,175,total:,1000,accuracy:,0.825,,
tree,5,correct:,833,wrong:,167,total:,1000,accuracy:,0.833,,
tree,6,correct:,840,wrong:,160,total:,1000,accuracy:,0.84,,
forest,5,correct:,893,wrong:,107,total:,1000,accuracy:,0.893,,
target block,6,,,,,,,,,,
tree,0,correct:,844,wrong:,156,total:,1000,accuracy:,0.844,,
tree,1,correct:,841,wrong:,159,total:,1000,accuracy:,0.841,,
tree,2,correct:,847,wrong:,153,total:,1000,accuracy:,0.847,,
tree,3,correct:,833,wrong:,167,total:,1000,accuracy:,0.833,,
tree,4,correct:,846,wrong:,154,total:,1000,accuracy:,0.846,,
tree,5,correct:,797,wrong:,203,total:,1000,accuracy:,0.797,,
tree,6,correct:,778,wrong:,222,total:,1000,accuracy:,0.778,,
forest,6,correct:,885,wrong:,115,total:,1000,accuracy:,0.885,,
target block,7,,,,,,,,,,
tree,0,correct:,774,wrong:,226,total:,1000,accuracy:,0.774,,
tree,1,correct:,791,wrong:,209,total:,1000,accuracy:,0.791,,
tree,2,correct:,776,wrong:,224,total:,1000,accuracy:,0.776,,
tree,3,correct:,768,wrong:,232,total:,1000,accuracy:,0.768,,
tree,4,correct:,790,wrong:,210,total:,1000,accuracy:,0.79,,
tree,5,correct:,761,wrong:,239,total:,1000,accuracy:,0.761,,
tree,6,correct:,750,wrong:,250,total:,1000,accuracy:,0.75,,
forest,7,correct:,831,wrong:,169,total:,1000,accuracy:,0.831,,
target block,8,,,,,,,,,,
tree,0,correct:,765,wrong:,235,total:,1000,accuracy:,0.765,,
tree,1,correct:,770,wrong:,230,total:,1000,accuracy:,0.77,,
tree,2,correct:,757,wrong:,243,total:,1000,accuracy:,0.757,,
tree,3,correct:,774,wrong:,226,total:,1000,accuracy:,0.774,,
tree,4,correct:,775,wrong:,225,total:,1000,accuracy:,0.775,,
tree,5,correct:,776,wrong:,224,total:,1000,accuracy:,0.776,,
tree,6,correct:,774,wrong:,226,total:,1000,accuracy:,0.774,,
forest,8,correct:,809,wrong:,191,total:,1000,accuracy:,0.809,,
target block,9,,,,,,,,,,
tree,0,correct:,736,wrong:,264,total:,1000,accuracy:,0.736,,
tree,1,correct:,757,wrong:,243,total:,1000,accuracy:,0.757,,
tree,2,correct:,766,wrong:,234,total:,1000,accuracy:,0.766,,
tree,3,correct:,782,wrong:,218,total:,1000,accuracy:,0.782,,
tree,4,correct:,774,wrong:,226,total:,1000,accuracy:,0.774,,
tree,5,correct:,751,wrong:,249,total:,1000,accuracy:,0.751,,
tree,6,correct:,745,wrong:,255,total:,1000,accuracy:,0.745,,
forest,9,correct:,804,wrong:,196,total:,1000,accuracy:,0.804,,
